	artist_ids	artist_names	popularity_score	track_ids	track_names	genres_all	acousticness	analysis_url	danceability	duration_ms	energy	instrumentalness	key	liveness	loudness	mode	speechiness	tempo	time_signature	track_href	type	uri	valence
848	3P33qFNGBVXl86yQYWspFj	Martina McBride	56	4TfA694mnO0Ev7LTgnpCZO	Happy Holiday / It's The Holiday Season	christmas, contemporary country, country, country dawn, country road	0.66	https://api.spotify.com/v1/audio-analysis/4TfA694mnO0Ev7LTgnpCZO	0.597	135547	0.583	0.0	10	0.0416	-6.143	1	0.048	77.568	4	https://api.spotify.com/v1/tracks/4TfA694mnO0Ev7LTgnpCZO	audio_features	spotify:track:4TfA694mnO0Ev7LTgnpCZO	0.573
849	3P33qFNGBVXl86yQYWspFj	Martina McBride	56	4TfA694mnO0Ev7LTgnpCZO	Happy Holiday / It's The Holiday Season	christmas, contemporary country, country, country dawn, country road	0.66	https://api.spotify.com/v1/audio-analysis/4TfA694mnO0Ev7LTgnpCZO	0.597	135547	0.583	0.0	10	0.0416	-6.143	1	0.048	77.568	4	https://api.spotify.com/v1/tracks/4TfA694mnO0Ev7LTgnpCZO	audio_features	spotify:track:4TfA694mnO0Ev7LTgnpCZO	0.573
850	7w43vWX55GhJBsAjFLaRj3	Lil Hound	53	29T9VR6dkhztJ7BXh8VkR9	Sun		0.00412	https://api.spotify.com/v1/audio-analysis/29T9VR6dkhztJ7BXh8VkR9	0.808	135255	0.492	0.777	10	0.0796	-12.158	0	0.0726	126.033	4	https://api.spotify.com/v1/tracks/29T9VR6dkhztJ7BXh8VkR9	audio_features	spotify:track:29T9VR6dkhztJ7BXh8VkR9	0.214
851	470WlqN9HSRDGNaMufeHHF	Imaginary Future	64	2BPmo2L5bYVS5SmpOTcfyF	Come As You Are	acoustic pop, chamber pop, indie anthem-folk, indie cafe pop, indie folk, indiecoustica, neo mellow, viral pop	0.982	https://api.spotify.com/v1/audio-analysis/2BPmo2L5bYVS5SmpOTcfyF	0.308	165309	0.0204	0.000448	5	0.107	-18.123	0	0.0377	147.369	3	https://api.spotify.com/v1/tracks/2BPmo2L5bYVS5SmpOTcfyF	audio_features	spotify:track:2BPmo2L5bYVS5SmpOTcfyF	0.128
852	5DuzBeOgFwViFcv00Q5PFb	WINNER	63	42rziXmwGA04hNSMi2MliA	EVERYDAY	k-pop, korean pop	0.289	https://api.spotify.com/v1/audio-analysis/42rziXmwGA04hNSMi2MliA	0.856	206351	0.6	0.0	7	0.0607	-4.712	1	0.0705	120.022	4	https://api.spotify.com/v1/tracks/42rziXmwGA04hNSMi2MliA	audio_features	spotify:track:42rziXmwGA04hNSMi2MliA	0.711
853	3Xt3RrJMFv5SZkCfUE8C1J	Kim Petras	58	5FN3Dh76G155e72RQjLkUZ	Close Your Eyes	dance pop, electropop, escape room, indie poptimism, indietronica, pop, post-teen pop	0.00949	https://api.spotify.com/v1/audio-analysis/5FN3Dh76G155e72RQjLkUZ	0.542	235616	0.708	0.00342	5	0.132	-5.805	0	0.0484	106.083	4	https://api.spotify.com/v1/tracks/5FN3Dh76G155e72RQjLkUZ	audio_features	spotify:track:5FN3Dh76G155e72RQjLkUZ	0.372
854	3Xt3RrJMFv5SZkCfUE8C1J	Kim Petras	58	5FN3Dh76G155e72RQjLkUZ	Close Your Eyes	dance pop, electropop, escape room, indie poptimism, indietronica, pop, post-teen pop	0.00949	https://api.spotify.com/v1/audio-analysis/5FN3Dh76G155e72RQjLkUZ	0.542	235616	0.708	0.00342	5	0.132	-5.805	0	0.0484	106.083	4	https://api.spotify.com/v1/tracks/5FN3Dh76G155e72RQjLkUZ	audio_features	spotify:track:5FN3Dh76G155e72RQjLkUZ	0.372
855	3Xt3RrJMFv5SZkCfUE8C1J	Kim Petras	58	5FN3Dh76G155e72RQjLkUZ	Close Your Eyes	dance pop, electropop, escape room, indie poptimism, indietronica, pop, post-teen pop	0.00949	https://api.spotify.com/v1/audio-analysis/5FN3Dh76G155e72RQjLkUZ	0.542	235616	0.708	0.00342	5	0.132	-5.805	0	0.0484	106.083	4	https://api.spotify.com/v1/tracks/5FN3Dh76G155e72RQjLkUZ	audio_features	spotify:track:5FN3Dh76G155e72RQjLkUZ	0.372
856	3Xt3RrJMFv5SZkCfUE8C1J	Kim Petras	58	5FN3Dh76G155e72RQjLkUZ	Close Your Eyes	dance pop, electropop, escape room, indie poptimism, indietronica, pop, post-teen pop	0.00949	https://api.spotify.com/v1/audio-analysis/5FN3Dh76G155e72RQjLkUZ	0.542	235616	0.708	0.00342	5	0.132	-5.805	0	0.0484	106.083	4	https://api.spotify.com/v1/tracks/5FN3Dh76G155e72RQjLkUZ	audio_features	spotify:track:5FN3Dh76G155e72RQjLkUZ	0.372
857	3pOOUcLNTiZ8nljgMJDXQ6	Sofasound	59	3kOtrXdDW7zkcLP5IrMmDc	By The Shore		0.642	https://api.spotify.com/v1/audio-analysis/3kOtrXdDW7zkcLP5IrMmDc	0.834	194164	0.256	0.0156	0	0.104	-9.433	0	0.252	88.944	4	https://api.spotify.com/v1/tracks/3kOtrXdDW7zkcLP5IrMmDc	audio_features	spotify:track:3kOtrXdDW7zkcLP5IrMmDc	0.496
