	artist_names	popularity_score	track_names	genres_all	acousticness	danceability	duration_ms	energy	instrumentalness	liveness	loudness	mode	speechiness	tempo	time_signature	valence
578	Why Don't We	53	8 Letters - R3HAB Remix	boy band, dance pop, pop, post-teen pop, teen pop	0.24	0.638	132233	0.708	0.0	0.311	-5.001	0	0.0421	103.16	4	0.5820000000000001
579	Why Don't We	53	8 Letters - R3HAB Remix	boy band, dance pop, pop, post-teen pop, teen pop	0.24	0.638	132233	0.708	0.0	0.311	-5.001	0	0.0421	103.16	4	0.5820000000000001
580	Major Lazer	48	Blow That Smoke - E Kelly Remix	dance pop, edm, electro house, moombahton, pop	0.0681	0.752	224331	0.5760000000000001	0.0153	0.0494	-10.029	1	0.0488	101.97200000000001	4	0.852
581	Major Lazer	48	Blow That Smoke - E Kelly Remix	dance pop, edm, electro house, moombahton, pop	0.0681	0.752	224331	0.5760000000000001	0.0153	0.0494	-10.029	1	0.0488	101.97200000000001	4	0.852
582	Major Lazer	51	Sua Cara	dance pop, edm, electro house, moombahton, pop	0.00812	0.789	167311	0.767	0.000348	0.10099999999999999	-4.612	0	0.0715	99.95700000000001	4	0.637
583	Major Lazer	51	Sua Cara	dance pop, edm, electro house, moombahton, pop	0.00812	0.789	167311	0.767	0.000348	0.10099999999999999	-4.612	0	0.0715	99.95700000000001	4	0.637
584	Cameron Dallas	68	Why Haven't I Met You?	pop, teen pop	0.204	0.7020000000000001	180480	0.473	0.0	0.0848	-7.499	0	0.0421	104.97399999999999	4	0.528
585	Adriel Favela	65	No Te Ilusiones Tanto	regional mexican, regional mexican pop	0.6759999999999999	0.7609999999999999	202733	0.501	0.0	0.0771	-5.19	1	0.0394	147.94299999999998	3	0.9670000000000001
586	Adriel Favela	66	La Escuela No Me Gustó	regional mexican, regional mexican pop	0.32299999999999995	0.836	176000	0.7659999999999999	1.18e-06	0.091	-6.229	0	0.0371	112.54799999999999	4	0.8440000000000001
587	Adriel Favela	66	La Escuela No Me Gustó	regional mexican, regional mexican pop	0.32299999999999995	0.836	176000	0.7659999999999999	1.18e-06	0.091	-6.229	0	0.0371	112.54799999999999	4	0.8440000000000001
588	Adriel Favela	66	La Escuela No Me Gustó	regional mexican, regional mexican pop	0.32299999999999995	0.836	176000	0.7659999999999999	1.18e-06	0.091	-6.229	0	0.0371	112.54799999999999	4	0.8440000000000001
589	Adriel Favela	66	La Escuela No Me Gustó	regional mexican, regional mexican pop	0.32299999999999995	0.836	176000	0.7659999999999999	1.18e-06	0.091	-6.229	0	0.0371	112.54799999999999	4	0.8440000000000001
590	Adriel Favela	63	Cuando los Necesité	regional mexican, regional mexican pop	0.721	0.8490000000000001	182740	0.616	1.49e-06	0.0584	-5.577999999999999	0	0.0406	109.523	3	0.963
591	Brantley Gilbert	56	What Happens In A Small Town	contemporary country, country, country road, modern country rock, redneck	0.000927	0.496	202587	0.775	0.0	0.14	-5.303999999999999	1	0.0411	138.165	4	0.478
592	Brantley Gilbert	56	What Happens In A Small Town	contemporary country, country, country road, modern country rock, redneck	0.000927	0.496	202587	0.775	0.0	0.14	-5.303999999999999	1	0.0411	138.165	4	0.478
593	Sanctus Real	61	Confidence	anthem worship, ccm, christian alternative rock, christian music, christian rock, worship	0.0291	0.452	181733	0.81	0.0	0.11800000000000001	-4.748	1	0.0422	167.143	4	0.439
594	Witt Lowry	67	Into Your Arms (feat. Ava Max)	indie pop rap	0.0134	0.504	186022	0.7879999999999999	0.0	0.363	-4.113	0	0.215	170.03900000000002	4	0.228
595	Witt Lowry	67	Into Your Arms (feat. Ava Max)	indie pop rap	0.0134	0.504	186022	0.7879999999999999	0.0	0.363	-4.113	0	0.215	170.03900000000002	4	0.228
597	Vince Staples	61	Relay	conscious hip hop, hip hop, pop rap, rap, underground hip hop	0.0524	0.772	137813	0.8370000000000001	0.0	0.585	-3.745	1	0.213	160.024	4	0.27
598	Vince Staples	61	Run the Bands	conscious hip hop, hip hop, pop rap, rap, underground hip hop	0.299	0.912	188480	0.7	0.0	0.444	-4.282	1	0.0663	138.066	4	0.484
599	Vince Staples	58	No Bleedin	conscious hip hop, hip hop, pop rap, rap, underground hip hop	0.0862	0.845	123507	0.8079999999999999	0.0	0.424	-5.849	1	0.21899999999999997	94.05799999999999	4	0.526
600	Jon Langston	59	Prob'ly At A Bar	canadian contemporary country, contemporary country, country road, lift kit, modern country rock, redneck	0.0527	0.5529999999999999	202747	0.723	0.0	0.0851	-4.476	1	0.0321	137.96	4	0.579
601	Jon Langston	59	Prob'ly At A Bar	canadian contemporary country, contemporary country, country road, lift kit, modern country rock, redneck	0.0527	0.5529999999999999	202747	0.723	0.0	0.0851	-4.476	1	0.0321	137.96	4	0.579
602	Jon Langston	59	Prob'ly At A Bar	canadian contemporary country, contemporary country, country road, lift kit, modern country rock, redneck	0.0527	0.5529999999999999	202747	0.723	0.0	0.0851	-4.476	1	0.0321	137.96	4	0.579
603	Jon Langston	59	Prob'ly At A Bar	canadian contemporary country, contemporary country, country road, lift kit, modern country rock, redneck	0.0527	0.5529999999999999	202747	0.723	0.0	0.0851	-4.476	1	0.0321	137.96	4	0.579
607	Trey Songz	64	Shootin Shots (feat. Ty Dolla $ign & Tory Lanez)	dance pop, pop, pop rap, r&b, southern hip hop, urban contemporary	0.287	0.536	190084	0.755	0.0	0.0634	-3.554	1	0.261	84.118	4	0.737
608	Trey Songz	59	Shootin Shots (feat. Ty Dolla $ign & Tory Lanez)	dance pop, pop, pop rap, r&b, southern hip hop, urban contemporary	0.297	0.521	190084	0.742	0.0	0.0621	-3.8510000000000004	1	0.263	83.97	4	0.727
609	Trey Songz	56	How Dat Sound (feat. 2 Chainz & Yo Gotti)	dance pop, pop, pop rap, r&b, southern hip hop, urban contemporary	0.145	0.7659999999999999	238950	0.621	0.0	0.156	-3.843	0	0.248	144.91899999999998	4	0.6509999999999999
610	Trey Songz	55	Top 10 (feat. Jeremih)	dance pop, pop, pop rap, r&b, southern hip hop, urban contemporary	0.748	0.8029999999999999	227538	0.486	0.0	0.166	-6.5089999999999995	0	0.213	106.991	4	0.494
612	Kelsea Ballerini	59	Legends	contemporary country, indonesian jazz, pop	0.0547	0.5770000000000001	244467	0.727	0.0	0.0891	-5.848	1	0.0319	112.041	4	0.24
613	Kelsea Ballerini	59	Legends	contemporary country, indonesian jazz, pop	0.0547	0.5770000000000001	244467	0.727	0.0	0.0891	-5.848	1	0.0319	112.041	4	0.24
