,artist_ids,genres_all
170,4AK6F7OLvEQ5QYCBNiQWHq,"boy band, dance pop, pop, post-teen pop, talent show"
171,50JJSqHUf2RQ9xsHs0KMHg,"modern rock, pop, pop rap"
172,6U3ybJ9UHNKEdsH7ktGBZ7,"hip hop, pop rap, rap, underground hip hop"
173,0fA0VVWsXO9YnASrzqfmYu,"hip hop, pop rap, rap"
174,3dRfiJ2650SZu6GbydcHNb,soundtrack
175,40LHVA5BTQp9RxHOQ9JPYj,christian music
176,3aQeKQSyrW4qWr35idm0cy,"dance pop, hip hop, pop, pop rap, r&b, rap, southern hip hop, trap music, urban contemporary"
177,2HUwZ0kumzCSlhFcjFZfpp,"rap, trap music, underground hip hop, vapor trap"
178,4sj6D0zlMOl25nprDJBiU9,"adult standards, christmas, easy listening, mellow gold"
179,3e7awlrlDSwF3iM0WBjGMp,"dance pop, girl group, pop, post-teen pop, r&b, talent show"
180,0qSX3s5pJnAlSsgsCne8Cz,"contemporary country, country, country road, modern country rock"
181,0ZED1XzwlLHW4ZaG4lOT6m,"dance pop, electropop, pop, post-teen pop"
182,1cNDP5yjU5vjeR8qMf4grg,"trap music, vapor trap"
183,4aXXDj9aZnlshx7mzj3W1N,"hollywood, show tunes"
184,3q7HBObVc0L8jNeTe5Gofh,"east coast hip hop, gangster rap, hip hop, pop rap, rap"
185,3tJoFztHeIJkJWMrx0td2f,"rap, southern hip hop, trap music, vapor trap"
186,2ye2Wgw4gimLv2eAKyk1NB,"hard rock, metal, rock, speed metal, thrash metal"
187,31TPClRtHm23RisEBtV3X7,"dance pop, pop"
188,0X2BH1fck6amBIoJhDVmmJ,"dance pop, edm, electropop, metropopolis, pop, post-teen pop, r&b, tropical house"
189,3PhoLpVuITZKcymswpck5b,"glam rock, mellow gold, piano rock, rock, soft rock"
190,7oPftvlwr6VrsViSDV7fJY,"permanent wave, pop punk, punk"
191,1TtXnWcUs0FCkaZDPGYHdf,"latin hip hop, reggaeton flow, trap latino"
192,68kEuyFKyqrdQQLLsmiatm,"conscious hip hop, hip hop, pop rap, rap, underground hip hop"
193,1l7ZsJRRS8wlW3WfJfPfNS,"dance pop, pop, post-teen pop, r&b"
194,3grHWM9bx2E9vwJCdlRv9O,"contemporary country, country, country road"
195,28ExwzUQsvgJooOI0X1mr3,"conscious hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap music, underground hip hop"
196,711MCceyCBcFnzjGY4Q7Un,"album rock, australian rock, hard rock, rock"
197,2IvkS5MXK0vPGnwyJsrEyV,"contemporary country, country, country road, modern country rock"
198,7Ln80lUS6He07XvHI8qqHH,"garage rock, indie rock, modern rock, permanent wave, rock, sheffield indie"
199,0MHgLfmQdutffmvWe5XBTN,"adult standards, american folk revival, christmas"
200,6FBDaR13swtiWwGhX1WQsP,"modern rock, pop punk, punk"
201,0TnOYISbd1XYRBk9myaseg,"dance pop, latin, miami hip hop, pop, pop rap"
202,4SsVbpTthjScTS7U2hmr1X,"latin, latin hip hop, reggaeton, reggaeton flow, trap latino, tropical"
203,2HPaUgqeutzr3jx5a9WyDV,"hip hop, pop, pop rap, r&b, rap, trap music, urban contemporary"
204,4ytkhMSAnrDP8XzRNlw9FS,"adult standards, christmas, jazz trio"
205,1U1el3k54VvEUzo3ybLPlM,"alternative r&b, colombian pop, indie r&b, pop"
206,4cPHsZM98sKzmV26wlwD2W,"adult standards, brill building pop, christmas"
207,26dSoYclwsYLMAKD3tpOr4,"dance pop, pop, post-teen pop"
208,4STHEaNw4mPZ2tzheohgXB,"classic rock, folk rock, mellow gold, rock, soft rock"
209,5v8jlSmAQfrkTjAlpUfWtu,"adult standards, brill building pop, christmas, easy listening, vocal jazz"
210,3Isy6kedDrgPYoTS1dazA9,"dance pop, dancehall, pop"
211,2lolQgalUvZDfp5vvVtTYV,"adult standards, christmas, easy listening, vocal jazz"
212,0EdvGhlC1FkGItLOWQzG4J,"reggae fusion, ska mexicano, ska punk"
213,4ScCswdRlyA23odg9thgIO,"dance pop, pop, post-teen pop, tropical house"
214,5cIc3SBFuBLVxJz58W2tU9,"electropop, indie poptimism, modern rock, pop"
215,5XDJlfdfbGNJrOJJNxTcdq,deep underground hip hop
216,00XhexlJEXQstHimpZN910,"latin, reggaeton flow, trap latino, tropical"
217,4J13m9IZh03PEhoxAxRhXO,"banda, norteno, regional mexican"
218,2ZRQcIgzPCVaT9XKhXZIzh,"dance pop, edm, electro house, indie poptimism, pop, tropical house"
219,3YCKuqpv9nCsIhJ2v8SMix,"anthem worship, ccm, christian music, world worship, worship"
220,5V0MlUE1Bft0mbLlND7FJz,"adult standards, christmas, jazz blues, swing, vocal jazz"
221,7x8nK0m0cP2ksQf0mjWdPS,"canadian contemporary country, contemporary country, country, country road, modern country rock"
222,2gBjLmx6zQnFGQJCAQpRgw,"dance pop, hip hop, pop, pop rap, r&b, rap, southern hip hop, urban contemporary"
223,2pSObt5Fk8izuX8ZfI3jRn,"country rap, redneck"
224,7gP3bB2nilZXLfPHJhMdvc,"indie pop, indietronica, la indie, modern alternative rock, modern rock, pop, rock"
225,3DiDSECUqqY1AuBP8qtaIa,"hip pop, neo soul, pop, r&b, urban contemporary"
226,6zFYqv1mOsgBRQbae3JJ9e,"album rock, classic rock, folk rock, mellow gold, piano rock, rock, singer-songwriter, soft rock"
227,0a1gHP0HAqALbEyxaD5Ngn,"contemporary country, country, country road, pop rock"
228,41MozSoPIsD1dJM0CLPjZF,k-pop
229,3oDbviiivRWhXwIE8hxkVV,"brill building pop, christmas, folk rock, psychedelic rock, rock"
230,3RqBeV12Tt7A8xH3zBDDUF,"contemporary country, indonesian jazz, pop"
231,757aE44tKEUQEqRuT6GnEB,"rap, trap music, vapor trap"
232,0RESbWvOMyua0yuyVrztJ5,"rap, southern hip hop, trap music, vapor trap"
233,0ONHkAv9pCAFxb0zJwDNTy,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap music, underground hip hop"
234,0C0XlULifJtAgn6ZNCW2eu,"indie rock, modern rock, permanent wave, rock"
235,77SW9BnxLY8rJ0RciFqkHh,"modern alternative rock, modern rock, pop"
236,5rSXSAkZ67PYJSvpUpkOr7,"boy band, dance pop, europop, pop"
237,3gIRvgZssIb9aiirIg0nI3,"dance pop, electropop, indie poptimism, pop"
238,0NWbwDZY1VkRqFafuQm6wk,"atl hip hop, hip hop, pop, pop rap, rap, southern hip hop, trap music"
239,7FBcuc1gsnv6Y1nwFtNRCb,"emo, pop punk"
240,4tZwfgrHOc3mvqYlEYSvVi,"electro, electronic, filter house"
241,6s22t5Y3prQHyaHWUN1R1C,"modern rock, pop"
242,2xiIXseIJcq3nG7C8fHeBj,"alternative metal, canadian metal, canadian rock, nu metal, pop punk, post-grunge"
243,2kRfqPViCqYdSGhYSM9R0Q,"dance pop, electropop, pop, post-teen pop, r&b"
244,6LqNN22kT3074XbTVUrhzX,"dance pop, electropop, pop, pop rap, post-teen pop"
245,67nwj3Y5sZQLl72VNUHEYE,"gangster rap, hip hop, indie r&b, pop, pop rap, r&b, rap, southern hip hop, trap music, urban contemporary"
246,3ipn9JLAPI5GUEo4y4jcoi,"atl hip hop, dance pop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap music"
247,2jnIB6XdLvnJUeNTy5A0J2,"boy band, dance pop, pop, post-teen pop, teen pop"
248,15iVAtD3s3FsQR4w1v6M0P,"drill, hip hop, pop rap, rap, southern hip hop, trap music, underground hip hop, vapor trap"
249,6olE6TJLqED3rqDCT0FyPh,"alternative rock, grunge, permanent wave, post-grunge, rock"
250,2kRfqPViCqYdSGhYSM9R0Q,"dance pop, electropop, pop, post-teen pop, r&b"
251,6LqNN22kT3074XbTVUrhzX,"dance pop, electropop, pop, pop rap, post-teen pop"
